216899,R216899,11803,PH Q3 2020,22339,PIZZA  HUT,943 W HIGH ST,,EBENSBURG,PA,15931,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216900,R216900,11803,PH Q3 2020,23979,PIZZA  HUT,502 W CUNNINGHAM ST,,BUTLER,PA,16001,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216901,R216901,11803,PH Q3 2020,24006,PIZZA  HUT,305 N JEFFERSON ST,,NEW CASTLE,PA,16101,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216902,R216902,11803,PH Q3 2020,26723,PIZZA  HUT,715 W MAIN ST,,GROVE CITY,PA,16127,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216903,R216903,11803,PH Q3 2020,7332,PIZZA  HUT,322 E CENTRAL AVE,,TITUSVILLE,PA,16354,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216904,R216904,11803,PH Q3 2020,7193,PIZZA  HUT,71 N MAIN ST,,UNION CITY,PA,16438,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216905,R216905,11803,PH Q3 2020,22021,PIZZA  HUT,9003 WILLIAM PENN HWY ,,HUNTINGDON,PA,16652,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216906,R216906,11803,PH Q3 2020,7628,PIZZA  HUT,101 W WASHINGTON ST,,BRADFORD,PA,16701,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216907,R216907,11803,PH Q3 2020,7592,PIZZA  HUT,152 S ANTRIM WAY,,GREENCASTLE,PA,17225,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216908,R216908,11803,PH Q3 2020,6140,PIZZA  HUT,300 E MAIN ST,,WAYNESBORO,PA,17268,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216909,R216909,11803,PH Q3 2020,30052,PIZZA  HUT,179 SUSQUEHANNA BLVD,,WEST HAZLETON,PA,18202,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216910,R216910,11803,PH Q3 2020,23519,PIZZA  HUT,7322 SUDLEY RD,,MANASSAS,VA,20109,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216911,R216911,11803,PH Q3 2020,23518,PIZZA  HUT,10060 DUMFRIES RD,,MANASSAS,VA,20110,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216912,R216912,11803,PH Q3 2020,23521,PIZZA  HUT,350 E MARKET ST,,LEESBURG,VA,20176,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216913,R216913,11803,PH Q3 2020,9653,PIZZA  HUT,5 NEWPORT DR,,FOREST HILL,MD,21050,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
