SHIP TO NAME	STORE NUMBER	CONCEPT CODE	ADDRESS 1	ADDRESS 2	CITY	STATE	ZIP	TAX AREA CODE	TAX EXPLANATION CODE
WIENERSCHNITZEL #657	657	WSZ	1731 N HACIENDA BLVD		LA PUENTE	CA	91744	CA27	S
WIENERSCHNITZEL #376	376	WSZ	25202 CABOT RD		LAGUNA HILLS	CA	92653	CA10	S
WIENERSCHNITZEL #788	788	WSZ	18284 COLLIER AVE STE 200		LAKE ELSINORE	CA	92530	CA10	S
WIENERSCHNITZEL #705	705	WSZ	20652 LAKE FOREST DR		LAKE FOREST	CA	92630	CA10	S
WIENERSCHNITZEL #811	811	WSZ	4111 WOODRUFF AVE		LAKEWOOD	CA	90713	CA26	S
WIENERSCHNITZEL #089	89	WSZ	601 W AVENUE J		LANCASTER	CA	93534	CA25	S
WIENERSCHNITZEL #402	402	WSZ	1714 W AVENUE K		LANCASTER	CA	93534	CA25	S
WIENERSCHNITZEL #637	637	WSZ	42741 45TH ST W		LANCASTER	CA	93536	CA25	S
WIENERSCHNITZEL #769	769	WSZ	825 E AVENUE K		LANCASTER	CA	93535	CA25	S
WIENERSCHNITZEL #039	39	WSZ	4607 ARTESIA BLVD		LAWNDALE	CA	90260	CA26	S
WIENERSCHNITZEL #616	616	WSZ	14900 HAWTHORNE BLVD		LAWNDALE	CA	90260	CA26	S
WIENERSCHNITZEL #267	267	WSZ	323 S LIVERMORE AVE		LIVERMORE	CA	94550	CA23	S
WIENERSCHNITZEL #793	793	WSZ	816 N VASCO RD		LIVERMORE	CA	94551	CA23	S
WIENERSCHNITZEL #264	264	WSZ	220 S CHEROKEE LN		LODI	CA	95240	CA12	S
WIENERSCHNITZEL #715	715	WSZ	1715 PACIFIC COAST HWY		LOMITA	CA	90717	CA25	S
WIENERSCHNITZEL #012	12	WSZ	3012 E ARTESIA BLVD		LONG BEACH	CA	90805	CA26	S
WIENERSCHNITZEL #150	150	WSZ	101 W WILLOW ST		LONG BEACH	CA	90806	CA26	S
WIENERSCHNITZEL #492	492	WSZ	4901 CHERRY AVE		LONG BEACH	CA	90807	CA26	S
WIENERSCHNITZEL #020	20	WSZ	5215 N FIGUEROA ST		LOS ANGELES	CA	90042	CA25	S
WIENERSCHNITZEL #090	90	WSZ	4714 W SLAUSON AVE		LOS ANGELES	CA	90056	CA25	S
WIENERSCHNITZEL #114	114	WSZ	3619 W OLYMPIC BLVD		LOS ANGELES	CA	90019	CA25	S
WIENERSCHNITZEL #124	124	WSZ	3789 CRENSHAW BLVD		LOS ANGELES	CA	90016	CA25	S
WIENERSCHNITZEL #858	858	WSZ	911 W PACHECO BLVD		LOS BANOS	CA	93635	CA15	S
WIENERSCHNITZEL #449	449	WSZ	1200 W YOSEMITE AVE		MANTECA	CA	95337	CA12	S
WIENERSCHNITZEL #181	181	WSZ	204 MCHENRY AVE		MODESTO	CA	95354	CA14	S
WIENERSCHNITZEL #331	331	WSZ	3342 MCHENRY AVE		MODESTO	CA	95350	CA14	S
WIENERSCHNITZEL #472	472	WSZ	1620 E HATCH RD		MODESTO	CA	95351	CA14	S
WIENERSCHNITZEL #0690	690	WSZ	2900 STANDIFORD AVE		MODESTO	CA	95350	CA14	S
WIENERSCHNITZEL #849	849	WSZ	16246 SIERRA HWY		MOJAVE	CA	93501	CA06	S
WIENERSCHNITZEL #557	557	WSZ	750 E HUNTINGTON DR		MONROVIA	CA	91016	CA26	S
WIENERSCHNITZEL #333	333	WSZ	9419 CENTRAL AVE		MONTCLAIR	CA	91763	CA28	S
WIENERSCHNITZEL #112	112	WSZ	2501 W BEVERLY BLVD		MONTEBELLO	CA	90640	CA26	S
WIENERSCHNITZEL #527	527	WSZ	24007 SUNNYMEAD BLVD		MORENO VALLEY	CA	92553	CA10	S
WIENERSCHNITZEL #561	561	WSZ	23750 ALESSANDRO BLVD		MORENO VALLEY	CA	92553	CA10	S
WIENERSCHNITZEL #645	645	WSZ	25250 MADISON AVE		MURRIETA	CA	92562	CA15	S
WIENERSCHNITZEL #086	86	WSZ	1825 HIGHLAND AVE		NATIONAL CITY	CA	91950	CA15	S
WIENERSCHNITZEL #390	390	WSZ	4501 JAMBOREE RD		NEWPORT BEACH	CA	92660	CA10	S
WIENERSCHNITZEL #734	734	WSZ	3645 HAMNER AVE		NORCO	CA	92860	CA15	S
WIENERSCHNITZEL #140	140	WSZ	5644 WATT AVE		NORTH HIGHLANDS	CA	95660	CA10	S
WIENERSCHNITZEL #204	204	WSZ	5135 LAUREL CANYON BLVD		NORTH HOLLYWOOD	CA	91607	CA25	S
WIENERSCHNITZEL #363	363	WSZ	18420 NORDHOFF ST		NORTHRIDGE	CA	91325	CA25	S
WIENERSCHNITZEL #006	6	WSZ	11660 IMPERIAL HWY		NORWALK	CA	90650	CA26	S
WIENERSCHNITZEL #337	337	WSZ	11610 ALONDRA BLVD		NORWALK	CA	90650	CA26	S
WIENERSCHNITZEL #826	826	WSZ	920 E F ST		OAKDALE	CA	95361	CA19	S
WIENERSCHNITZEL #025	25	WSZ	624 N COAST HWY		OCEANSIDE	CA	92054	CA12	S
WIENERSCHNITZEL #545	545	WSZ	1960 OCEANSIDE BLVD		OCEANSIDE	CA	92054	CA12	S
WIENERSCHNITZEL #322	322	WSZ	1820 S EUCLID AVE		ONTARIO	CA	91762	CA10	S
WIENERSCHNITZEL #588	588	WSZ	4605 MILLS CIR		ONTARIO	CA	91764	CA10	S
WIENERSCHNITZEL #744	744	WSZ	761 N ARCHIBALD AVE		ONTARIO	CA	91764	CA10	S
WIENERSCHNITZEL #820	820	WSZ	1175 E WALNUT ST		ONTARIO	CA	91761	CA10	S
WIENERSCHNITZEL #293	293	WSZ	1888 N TUSTIN ST		ORANGE	CA	92865	CA10	S
WIENERSCHNITZEL #306	306	WSZ	2205 W CHAPMAN AVE		ORANGE	CA	92868	CA10	S
WIENERSCHNITZEL #660	660	WSZ	108 W LINCOLN AVE		ORANGE	CA	92865	CA10	S
WIENERSCHNITZEL #708	708	WSZ	4341 E CHAPMAN AVE		ORANGE	CA	92869	CA10	S
WIENERSCHNITZEL #580	580	WSZ	2830 S VENTURA RD		OXNARD	CA	93033	CA10	S
WIENERSCHNITZEL #830	830	WSZ	9000 WOODMAN AVE		PACOIMA	CA	91331	CA25	S
WIENERSCHNITZEL #631	631	WSZ	3005 E AVENUE S		PALMDALE	CA	93550	CA25	S
WIENERSCHNITZEL #016	16	WSZ	8201 ROSECRANS AVE		PARAMOUNT	CA	90723	CA26	S
WIENERSCHNITZEL #807	807	WSZ	4145 PHELAN RD		PHELAN	CA	92371	CA10	S
WIENERSCHNITZEL #679	679	WSZ	6749 ROSEMEAD BLVD		PICO RIVERA	CA	90660	CA26	S
WIENERSCHNITZEL #468	468	WSZ	7373 N BLACKSTONE AVE		PINEDALE	CA	93650	CA16	S
WIENERSCHNITZEL #626	626	WSZ	1005 E IMPERIAL HWY		PLACENTIA	CA	92870	CA15	S
WIENERSCHNITZEL #026	26	WSZ	175 W FOOTHILL BLVD		POMONA	CA	91767	CA26	S
WIENERSCHNITZEL #046	46	WSZ	520 E MISSION BLVD		POMONA	CA	91766	CA26	S
WIENERSCHNITZEL #722	722	WSZ	11076 COLOMA RD		RANCHO CORDOVA	CA	95670	CA12	S
WIENERSCHNITZEL #467	467	WSZ	9421 FOOTHILL BLVD		RANCHO CUCAMONGA	CA	91730	CA10	S
WIENERSCHNITZEL #569	569	WSZ	12719 FOOTHILL BLVD		RANCHO CUCAMONGA	CA	91739	CA10	S
WIENERSCHNITZEL #0339	339	WSZ	1120 MARKET ST		REDDING	CA	96001	CA06	S
WIENERSCHNITZEL #699	699	WSZ	1961 W REDLANDS BLVD		REDLANDS	CA	92373	CA10	S
WIENERSCHNITZEL #544	544	WSZ	1388 W FOOTHILL BLVD		RIALTO	CA	92376	CA10	S
WIENERSCHNITZEL #379	379	WSZ	220 CHINA LAKE BLVD		RIDGECREST	CA	93555	CA12	S
