Outlet SAP BP ID	Send to Supplier	COF #	Store Number	Ship To Name	Address 1	Address 2	City	State	Zip	Order Qty	Part Number	Pre-Filter	Combo Filter 	Ice Only Filter	Req'd Ship Date	Carrier	 Tracking #	Returns with a reason code	Customer Number	PO Number	Ordered By	Shipping Vendor	Shipping Method
10150670	44154	406864	314	WIENERSCHNITZEL #314	2172 HARBOR BLVD		VENTURA	CA	93001	1	108-020NS		108-020NS		12/29/2020								
10150514	44154	437279	316	WIENERSCHNITZEL #316	1212 N AZUSA AVE		COVINA	CA	91722	1	108-020NS		108-020NS		12/29/2020								
10150398	44154	369711	317	WIENERSCHNITZEL #317	5980 STOCKTON BLVD		SACRAMENTO	CA	95824	1	108-020NS		108-020NS		12/29/2020								
10151126	44154	5180902	319	WIENERSCHNITZEL #319	265 W ORANGETHORPE AVE		FULLERTON	CA	92832	1	108-020NS		108-020NS		12/29/2020								
10151178	44154	5192150	322	WIENERSCHNITZEL #322	1820 S EUCLID AVE		ONTARIO	CA	91762	1	108-020NS		108-020NS		12/29/2020								
10150852	44154	435917	326	WIENERSCHNITZEL #326	7501 ORANGETHORPE AVE		BUENA PARK	CA	90621	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10150852	44154	435917	326	WIENERSCHNITZEL #326	7501 ORANGETHORPE AVE		BUENA PARK	CA	90621	1	108-014-S				12/29/2020								
10151756	44154	491309	328	WIENERSCHNITZEL #328	4431 BELL ST		AMARILLO	TX	79109	1	108-020NS	108-231	108-020NS		12/29/2020								
10151756	44154	491309	328	WIENERSCHNITZEL #328	4431 BELL ST		AMARILLO	TX	79109	1	108-231				12/29/2020								
10150410	44154	374995	331	WIENERSCHNITZEL #331	3342 MCHENRY AVE		MODESTO	CA	95350	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10150410	44154	374995	331	WIENERSCHNITZEL #331	3342 MCHENRY AVE		MODESTO	CA	95350	1	108-014-S				12/29/2020								
10150412	44154	430488	332	WIENERSCHNITZEL #332	2580 W LA PALMA AVE		ANAHEIM	CA	92801	1	108-020NS		108-020NS		12/29/2020								
10151277	44154	5704704	333	WIENERSCHNITZEL #333	9419 CENTRAL AVE		MONTCLAIR	CA	91763	1	108-020NS		108-020NS		12/29/2020								
10150827	44154	7714298	337	WIENERSCHNITZEL #337	11610 ALONDRA BLVD		NORWALK	CA	90650	1	108-020NS		108-020NS		12/29/2020								
10150588	44154	429310	338	WIENERSCHNITZEL #338	18900 SOLEDAD CANYON RD		CANYON COUNTRY	CA	91351	1	108-020NS		108-020NS		12/29/2020								
10151356	44154	5717005	339	WIENERSCHNITZEL #0339	1120 MARKET ST		REDDING	CA	96001	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10151356	44154	5717005	339	WIENERSCHNITZEL #0339	1120 MARKET ST		REDDING	CA	96001	1	108-014-S				12/29/2020								
10150826	44154	3474016	343	WIENERSCHNITZEL #343	1246 UNIVERSITY AVE		RIVERSIDE	CA	92507	1	108-020NS		108-020NS		12/29/2020								
10150474	44154	429815	344	WIENERSCHNITZEL #344	15753 LEFFINGWELL RD		WHITTIER	CA	90604	1	108-020NS		108-020NS		12/29/2020								
10150414	44154	360669	345	WIENERSCHNITZEL #345	34480 FREMONT BLVD		FREMONT	CA	94555	1	108-020NS		108-020NS		12/29/2020								
10151201	44154	3666621	348	WIENERSCHNITZEL #348	1401 W MACARTHUR BLVD		SANTA ANA	CA	92704	1	108-020NS		108-020NS		12/29/2020								
10151443	44154	7204612	351	WIENERSCHNITZEL #0351	5966 WARNER AVE		HUNTINGTON BEACH	CA	92649	1	108-020NS		108-020NS		12/29/2020								
10150421	44154	360673	355	WIENERSCHNITZEL #355	411 N CAPITOL AVE		SAN JOSE	CA	95133	1	108-020NS		108-020NS		12/29/2020								
10150423	44154	398424	356	WIENERSCHNITZEL #356	4044 MING AVE		BAKERSFIELD	CA	93309	1	108-020NS		108-020NS		12/29/2020								
10150435	44154	393628	358	WIENERSCHNITZEL #358	1255 PALM AVE		IMPERIAL BEACH	CA	91932	1	108-020NS		108-020NS		12/29/2020								
10151019	44154	5160587	360	WIENERSCHNITZEL #360	807 W LACEY BLVD		HANFORD	CA	93230	1	108-020NS		108-020NS		12/29/2020								
10150437	44154	375024	362	WIENERSCHNITZEL #362	1107 W MARCH LN		STOCKTON	CA	95207	1	108-020NS		108-020NS		12/29/2020								
10150561	44154	428839	363	WIENERSCHNITZEL #363	18420 NORDHOFF ST		NORTHRIDGE	CA	91325	1	108-020NS		108-020NS		12/29/2020								
10151724	44154	2867487	364	WIENERSCHNITZEL #364	1200 N YARBROUGH DR		EL PASO	TX	79925	1	108-020NS	108-231	108-020NS		12/29/2020								
10151724	44154	2867487	364	WIENERSCHNITZEL #364	1200 N YARBROUGH DR		EL PASO	TX	79925	1	108-231				12/29/2020								
10151740	44154	2867493	365	WIENERSCHNITZEL #365	7000 N MESA ST		EL PASO	TX	79912	1	108-020NS	108-231	108-020NS	108-014-S	12/29/2020								
10151740	44154	2867493	365	WIENERSCHNITZEL #365	7000 N MESA ST		EL PASO	TX	79912	1	108-231				12/29/2020								
